State,Name of Institution (Short),Name of Institution (full),In-State Tuition & Fees,Out-of-State Premium,Out-of-State Tuition & Fees,5-Year % Change in In-State Tuition and Fees (2017-18 to 2022-23)
Florida,Univ. of FL,University of Florida,"$6,380","$22,280","$28,660",-16%
Wyoming,Univ. of WY,University of Wyoming,"$6,440","$15,150","$21,590",3%
Montana,Univ. of MT,University of Montana,"$7,720","$21,910","$29,630",-9%
Idaho,Univ. of ID,University of Idaho,"$8,400","$19,230","$27,630",-6%
Nevada,Univ. of NV: Reno,University of Nevada: Reno,"$8,800","$16,540","$25,340",-3%
North Carolina,Univ. of NC-Chapel Hill,University of North Carolina at Chapel Hill,"$9,000","$28,560","$37,560",-17%
Mississippi,Univ. of MS,University of Mississippi,"$9,220","$17,220","$26,440",-7%
West Virginia,West VA Univ.,West Virginia University,"$9,380","$17,190","$26,570",-6%
South Dakota,Univ. of SD,University of South Dakota,"$9,430","$3,510","$12,940",-10%
Nebraska,Univ. of NE-Lincoln,University of Nebraska - Lincoln,"$9,620","$17,130","$26,750",-10%
Arkansas,Univ. of AR,University of Arkansas,"$9,660","$17,750","$27,410",-11%
Alaska,Univ. of AK Fairbanks,University of Alaska Fairbanks,"$9,880","$17,970","$27,850",10%
New Mexico,Univ. of NM,University of New Mexico,"$10,100","$16,310","$26,410",18%
Utah,Univ. of UT,University of Utah,"$10,290","$22,760","$33,050",-3%
Iowa,Univ. of IA,University of Iowa,"$10,350","$21,970","$32,320",-4%
New York,State Univ. of NY-Buffalo,State University of New York at Buffalo,"$10,780","$17,920","$28,700",-8%
Wisconsin,Univ. of WI-Madison,University of Wisconsin-Madison,"$10,800","$28,630","$39,430",-14%
Texas,Univ. of TX-Austin,University of Texas at Austin,"$10,860","$27,790","$38,650",-13%
North Dakota,Univ. of ND,University of North Dakota,"$10,950","$4,620","$15,570",8%
Kansas,Univ. of KS,University of Kansas,"$11,170","$16,870","$28,040",-14%
Georgia,Univ. of GA,University of Georgia,"$11,180","$19,040","$30,220",-21%
Maryland,Univ. of MD-College Park,University of Maryland: College Park,"$11,230","$28,240","$39,470",-10%
Indiana,IN Univ. Bloomington,Indiana University Bloomington,"$11,450","$27,670","$39,120",-9%
Missouri,Univ. of MO-Columbia,University of Missouri: Columbia,"$11,600","$20,370","$31,970",-1%
Alabama,Univ. of AL,University of Alabama,"$11,940","$20,360","$32,300",-7%
Louisiana,LA State Univ. & A&M College,Louisiana State University and Agricultural and Mechanical College,"$11,960","$16,680","$28,640",-12%
Oklahoma,Univ. of OK,University of Oklahoma,"$12,120","$16,570","$28,690",-12%
Maine,Univ. of ME,University of Maine,"$12,140","$21,600","$33,740",-7%
Hawaii,Univ. of HI-Manoa,University of Hawaii at Manoa,"$12,190","$22,030","$34,220",-13%
Washington,Univ. of WA,University of Washington,"$12,240","$28,500","$40,740",-7%
Ohio,OH State Univ.-Columbus,Ohio State University: Columbus Campus,"$12,490","$24,230","$36,720",-2%
South Carolina,Univ. of SC,University of South Carolina,"$12,690","$21,240","$33,930",-14%
Kentucky,Univ. of KY,University of Kentucky,"$12,860","$19,420","$32,280",-9%
Colorado,Univ. of CO-Boulder,University of Colorado at Boulder,"$13,110","$27,250","$40,360",-9%
Tennessee,Univ. of TN-Knoxville,University of Tennessee: Knoxville,"$13,240","$18,420","$31,660",-15%
Arizona,Univ. of AZ,University of Arizona,"$13,260","$26,300","$39,560",-7%
Oregon,Univ. of OR,University of Oregon,"$15,050","$26,650","$41,700",9%
California,Univ. of CA-Berkeley,University of California: Berkeley,"$15,220","$31,030","$46,250",-9%
Delaware,Univ. of DE,University of Delaware,"$15,410","$22,520","$37,930",-2%
Minnesota,Univ. of MN-Twin Cities,University of Minnesota: Twin Cities,"$15,860","$19,240","$35,100",-8%
Rhode Island,Univ. of RI,University of Rhode Island,"$15,880","$18,480","$34,360",-4%
New Jersey,"Rutgers, State Univ. of NJ","Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus","$16,260","$17,700","$33,960",-7%
Michigan,Univ. of MI,University of Michigan,"$16,740","$38,590","$55,330",-6%
Massachusetts,Univ. of MA-Amherst,University of Massachusetts Amherst,"$16,950","$21,220","$38,170",-8%
Illinois,Univ. of IL-Urbana-Champaign,University of Illinois at Urbana-Champaign,"$17,140","$17,970","$35,110",-10%
Virginia,Univ. of VA,University of Virginia,"$18,240","$36,150","$54,390",-5%
Vermont,Univ. of VT,University of Vermont,"$18,890","$25,000","$43,890",-11%
New Hampshire,Univ. of NH,University of New Hampshire,"$19,020","$18,910","$37,930",-12%
Pennsylvania,Penn State Univ. Park,Penn State University Park,"$19,290","$18,810","$38,100",-13%
Connecticut,Univ. of CT,University of Connecticut,"$19,430","$22,670","$42,100",9%
