Institution Name,Total price for in-state students living off campus (with family)  2021-22 (DRVIC2021)
Aaniiih Nakoda College,8510
Abilene Christian University,43872
Abilene Christian University-Undergraduate Online,19042
Abraham Baldwin Agricultural College,7765
Abraham Lincoln University,11365
Academy College,29579
Academy for Nursing and Health Occupations,
Academy of Art University,31032
Academy of Interactive Entertainment,27513
Acupuncture and Massage College,17761
Adams State University,14477
Adelphi University,51495
Adrian College,44307
AdventHealth University,31108
Agape College of Business and Science,9868
Agnes Scott College,47588
AI Miami International University of Art and Design,32099
Aiken Technical College,10206
Aims Community College,9574
Alabama A & M University,15064
Alabama State University,17798
Alamance Community College,16419
Alaska Bible College,16146
Alaska Christian College,10994
Alaska Pacific University,26370
Albany College of Pharmacy and Health Sciences,42315
Albany State University,12172
Albany Technical College,9220
Albertus Magnus College,44910
Albion College,55090
Albizu University-Miami,24549
Albizu University-San Juan,16276
Albright College,31678
Alcorn State University,16558
Alderson Broaddus University,35131
Alexandria Technical & Community College,14306
Alfred University,40514
Alice Lloyd College,20630
Allan Hancock College,7032
Allegany College of Maryland,13680
Allegheny College,56030
Allegheny Wesleyan College,11220
Allen College,25854
Allen County Community College,7524
Allen University,17340
Alliant International University-San Diego,20214
Alma College,47038
Alpena Community College,9720
Altierus Career College-Bissonnet,19815
Altierus Career College-Norcross,20067
Altierus Career College-Tampa,19383
Alvernia University,43280
Alverno College,38798
Alvin Community College,9115
Amarillo College,9178
Ambria College of Nursing,
America Evangelical University,11900
American Academy McAllister Institute of Funeral Service,20492
American Academy of Art College,41147
American Academy of Dramatic Arts-Los Angeles,44100
American Academy of Dramatic Arts-New York,43829
American Baptist College,18404
American Business and Technology University,
American College of Healthcare Sciences,19978
American College of the Building Arts,25970
American Conservatory Theater,37006
American Institute of Alternative Medicine,20656
American InterContinental University,13721
American InterContinental University-Atlanta,15863
American InterContinental University-Houston,18609
American International College,44770
American Medical Academy,
American Medical Sciences Center,
American Musical and Dramatic Academy,47660
American National University,14672
American National University-Pikeville,14738
American Public University System,9784
American River College,6686
American Samoa Community College,9250
American University,55870
American University of Health Sciences,28171
American University of Puerto Rico,17777
American University of Puerto Rico,17777
AmeriTech College-Draper,18048
Amherst College,63950
Ana G. Mendez University,16584
Anderson University,37350
Anderson University,37408
Andrew College,
Andrews University,33982
Angeles College,
Angelina College,12955
Angelo State University,12786
Anna Maria College,43208
Anne Arundel Community College,15012
Anoka Technical College,14043
Anoka-Ramsey Community College,13483
Antelope Valley Community College District,6641
Antigua College International,24007
Antioch College,42743
Appalachian Bible College,19746
Appalachian State University,11374
Aquinas College,39662
Arapahoe Community College,12151
Arcadia University,51570
Arizona Christian University,38424
Arizona College of Nursing-Dallas,27846
Arizona College of Nursing-Fort Lauderdale,30060
Arizona College of Nursing-Las Vegas,26726
Arizona College of Nursing-Phoenix,28966
Arizona College of Nursing-Salt Lake City,26726
Arizona College of Nursing-Tampa,26726
Arizona College of Nursing-Tempe,28966
Arizona College of Nursing-Tucson,27846
Arizona State University Campus Immersion,17060
Arizona Western College,13371
Arkansas Baptist College,14234
Arkansas Northeastern College,8416
Arkansas State University,13258
Arkansas State University Mid-South,9622
Arkansas State University Three Rivers,6784
Arkansas State University-Beebe,12258
Arkansas State University-Mountain Home,9598
Arkansas State University-Newport,9456
Arkansas Tech University,13414
Arlington Baptist University,21722
Arnot Ogden Medical Center,
Art Academy of Cincinnati,39890
Art Center College of Design,58536
ASA College,21418
Asbury University,36557
Ascent College,14598
Asheville-Buncombe Technical Community College,9758
Ashford University,20196
Ashland Community and Technical College,8634
Ashland University,27730
Asnuntuck Community College,11936
Aspen University,8110
ASPIRA City College,19008
Associated Beth Rivkah Schools,13800
Assumption University,48700
Atenas College,12439
Athens Technical College,9011
ATI College-Whittier,
Atlanta Metropolitan State College,9115
Atlanta Technical College,5964
Atlantic Cape Community College,13440
Atlantic University College,10965
Atlantis University,18380
Auburn University,19054
Auburn University at Montgomery,13890
Augsburg University,46207
Augusta Technical College,6896
Augusta University,12035
Augustana College,48389
Augustana University,43414
Aultman College of Nursing and Health Sciences,26038
Aurora University,35160
Austin College,46355
Austin Community College District,14036
Austin Peay State University,18051
Ave Maria University,34303
Averett University,41374
Avila University,25190
Azusa Pacific University,47012
Babson College,66240
Bacone College,18700
Bais Binyomin Academy,15850
Bais HaMedrash and Mesivta of Baltimore,19300
Bais Medrash Elyon,14400
Bais Medrash Mayan Hatorah,17450
Bais Medrash of Dexter Park,15400
Bais Medrash Toras Chesed,
Baker College,18220
Baker University,36840
Bakersfield College,6830
Baldwin Wallace University,44466
Ball State University,16470
Baltimore City Community College,9336
Baptist Bible College,24090
Baptist Health College Little Rock,23937
Baptist Health Sciences University,17471
Baptist Missionary Association Theological Seminary,10100
Baptist University of the Americas,8868
Barclay College,28050
Bard College,60768
Bard College at Simon's Rock,65583
Barnard College,62207
Barry University,35796
Barstow Community College,6504
Barton College,36780
Barton County Community College,9476
Bates College,
Bates Technical College,11507
Baton Rouge Community College,10711
Bay de Noc Community College,13590
Bay Mills Community College,7422
Bay Path University,39781
Bay State College,39842
Baylor University,55480
Be'er Yaakov Talmudic Seminary,17589
Beacon College,48306
Beal University,
Beaufort County Community College,12010
Beckfield College-Florence,20470
Beis Medrash Heichal Dovid,16900
Belanger School of Nursing,15714
Belhaven University,32475
Bellarmine University,51798
Bellevue College,8272
Bellevue University,20067
Bellin College,27385
Bellingham Technical College,8219
Belmont Abbey College,22800
Belmont College,9002
Belmont University,45065
Beloit College,57108
Bemidji State University,13696
Benedict College,23400
Benedictine College,38330
Benedictine University,40352
Benjamin Franklin Institute of Technology,21750
Bennett College,27272
Bennington College,63438
Bentley University,62445
Berea College,46912
Bergen Community College,13681
Berkeley City College,9855
Berkeley College-New York,33606
Berkeley College-Woodland Park,33606
Berklee College of Music,49444
Berkshire Community College,11972
Berry College,43288
Bet Medrash Gadol Ateret Torah,16000
Beth Hamedrash Shaarei Yosher Institute,16800
Beth Medrash Meor Yitzchok,17200
Beth Medrash of Asbury Park,18150
Bethany College,35400
Bethany College,
Bethany Global University,22808
Bethany Lutheran College,31310
Bethel College-North Newton,39276
Bethel University,34980
Bethel University,46398
Bethel University,23302
Bethesda University,11766
Bethune-Cookman University,19344
Beulah Heights University,9992
Beverly Hills Design Institute,26520
Bevill State Community College,13102
Big Bend Community College,9252
Big Sandy Community and Technical College,8634
Binghamton University,13585
Biola University,49298
Birmingham-Southern College,25790
Bishop State Community College,9560
Bismarck State College,9426
Black Hawk College,13736
Black Hills State University,14700
Black River Technical College,11337
Blackburn College,30930
Blackfeet Community College,11405
Blackhawk Technical College,10268
Bladen Community College,8958
Blinn College,12898
Bloomfield College,34543
Bloomsburg University of Pennsylvania,18492
Blue Mountain College,22720
Blue Mountain Community College,10568
Blue Ridge Community and Technical College,8596
Blue Ridge Community College,14120
Blue Ridge Community College,9042
Bluefield State College,13571
Bluefield University,33180
Bluegrass Community and Technical College,8714
Bluffton University,40492
Bnos Zion Of Bobov Seminary,14200
Bob Jones University,25350
Boise Bible College,20570
Boise State University,13522
Bolivar Technical College,25895
Boricua College,15050
Bossier Parish Community College,10834
Boston Architectural College,26544
Boston Baptist College,17783
Boston College,66856
Boston University,64616
Bowdoin College,
Bowie State University,12658
Bowling Green State University-Firelands,11044
Bowling Green State University-Main Campus,18849
Bradley University,43410
Brandeis University,64306
Brazosport College,8531
Brenau University,38140
Brescia University,32050
Brevard College,33250
Brewton-Parker College,31221
Briar Cliff University,42240
BridgeValley Community & Technical College,9720
Bridgewater College,42670
Bridgewater State University,15332
Brigham Young University,12098
Brigham Young University-Hawaii,13833
Brigham Young University-Idaho,8428
Brightpoint Community College,10500
Bristol Community College,10058
Broadview College,21159
Brookdale Community College,15644
Brookline College-Albuquerque,
Brookline College-Phoenix,
Broward College,13984
Brown University,
Brunswick Community College,9900
Bryan College of Health Sciences,23646
Bryan College-Dayton,21310
Bryan University,16745
Bryan University,20366
Bryant & Stratton College-Albany,21636
Bryant & Stratton College-Buffalo,20858
Bryant & Stratton College-Greece,21745
Bryant & Stratton College-Online,17894
Bryant & Stratton College-Parma,22492
Bryant & Stratton College-Syracuse North,21450
Bryant & Stratton College-Virginia Beach,21390
Bryant & Stratton College-Wauwatosa,22627
Bryant University,52682
Bryn Athyn College of the New Church,31785
Bryn Mawr College,
Bucknell University,62866
Bucks County Community College,15118
Buena Vista University,43092
Bunker Hill Community College,11502
Bushnell University,36070
Butler Community College,7576
Butler County Community College,11350
Butler University,47860
Butte College,6480
Cabarrus College of Health Sciences,21370
Cabrillo College,8228
Cabrini University,39295
Cairn University-Langhorne,34142
Caldwell Community College and Technical Institute,8937
Caldwell University,43700
California Aeronautical University,34531
California Baptist University,42500
California Christian College,18505
California College of the Arts,58212
California Institute of Technology,64383
California Institute of the Arts,63792
California Intercontinental University,21267
California Jazz Conservatory,27300
California Lutheran University,51512
California Miramar University,16511
California Polytechnic State University-San Luis Obispo,13348
California State Polytechnic University-Humboldt,12278
California State Polytechnic University-Pomona,12492
California State University Maritime Academy,16812
California State University-Bakersfield,12813
California State University-Channel Islands,12341
California State University-Chico,12414
California State University-Dominguez Hills,12206
California State University-East Bay,12155
California State University-Fresno,11504
California State University-Fullerton,12215
California State University-Long Beach,11368
California State University-Los Angeles,12269
California State University-Monterey Bay,12038
California State University-Northridge,12429
California State University-Sacramento,12576
California State University-San Bernardino,12406
California State University-San Marcos,12209
California State University-Stanislaus,12660
California University of Pennsylvania,18742
Calumet College of Saint Joseph,24320
Calvary University,17068
Calvin University,42540
Cambridge College,20442
Camden County College,8630
Cameron University,10612
Campbell University,43075
Campbellsville University,33784
Canada College,8031
Canisius College,33410
Cankdeska Cikana Community College,8550
Cape Cod Community College,13000
Cape Fear Community College,10412
Capella University,15572
Capital Community College,12912
Capital University,46524
Capitol Technology University,32374
Cardinal Stritch University,40994
Career Networks Institute,
Caribbean University-Bayamon,8516
Caribbean University-Carolina,8508
Caribbean University-Ponce,8508
Caribbean University-Vega Baja,8508
Carl Albert State College,9643
Carl Sandburg College,11658
Carleton College,
Carlow University,35872
Carnegie Mellon University,61324
Carolina Christian College,26000
Carolina College of Biblical Studies,8028
Carolina University,17500
Carolinas College of Health Sciences,25084
Carroll College,42074
Carroll Community College,10298
Carroll University,40202
Carson-Newman University,36154
Carteret Community College,13991
Carthage College,36600
Carver Career Center,
Casa Loma College-Van Nuys,
Cascadia College,9204
Case Western Reserve University,59902
Casper College,6910
Castleton University,16418
Catawba College,37214
Catawba Valley Community College,13419
Catholic Distance University,11105
Cayuga County Community College,10092
Cazenovia College,39268
CBD College,
Cecil College,15170
Cedar Crest College,47591
Cedarville University,37264
CEM College-Bayamon,16821
CEM College-Humacao,16821
CEM College-Mayaguez,16821
CEM College-San Juan,16821
Centenary College of Louisiana,44160
Centenary University,40012
Centra College,22313
Central Alabama Community College,10290
Central Arizona College,6980
Central Baptist College,21684
Central Carolina Community College,10641
Central Carolina Technical College,11670
Central Christian College of Kansas,24695
Central Christian College of the Bible,20398
Central College,23750
Central Community College,9810
Central Connecticut State University,16118
Central Georgia Technical College,6907
Central Lakes College-Brainerd,13608
Central Louisiana Technical Community College,9238
Central Maine Community College,9384
Central Methodist University-College of Graduate and Extended Studies,15182
Central Methodist University-College of Liberal Arts and Sciences,34332
Central Michigan University,16700
Central New Mexico Community College,6914
Central Ohio Technical College,10680
Central Oregon Community College,11473
Central Penn College,21514
Central Pennsylvania Institute of Science and Technology,
Central Piedmont Community College,11305
Central State University,10862
Central Texas College,8497
Central Virginia Community College,9406
Central Washington University,12507
Central Wyoming College,8380
Central Yeshiva Beth Joseph,16800
Central Yeshiva Tomchei Tmimim Lubavitz,13500
Centralia College,8985
Centre College,49020
Centura College-Chesapeake,25108
Centura College-Virginia Beach,25108
Century College,12501
Cerritos College,6748
Cerro Coso Community College,6784
Chabot College,7009
Chadron State College,11990
Chaffey College,6584
Chamberlain University-Arizona,28050
Chamberlain University-California,28050
Chamberlain University-Florida,27537
Chamberlain University-Georgia,27537
Chamberlain University-Illinois,28318
Chamberlain University-Indiana,27537
Chamberlain University-Louisiana,27537
Chamberlain University-Michigan,27537
Chamberlain University-Missouri,27537
Chamberlain University-Nevada,28050
Chamberlain University-New Jersey,28050
Chamberlain University-North Carolina,27537
Chamberlain University-Ohio,27537
Chamberlain University-Texas,27537
Chamberlain University-Virginia,28050
Chaminade University of Honolulu,31632
Champion Christian College,11304
Champlain College,46280
Chandler-Gilbert Community College,14010
Chapman University,64804
Charles R Drew University of Medicine and Science,20840
Charleston Southern University,33830
Charlotte Christian College and Theological Seminary,15209
Charter College,25515
Charter Oak State College,13986
Chatfield College,17361
Chatham University,45377
Chattahoochee Technical College,8666
Chattahoochee Valley Community College,6736
Chattanooga State Community College,10130
Chemeketa Community College,11361
Chesapeake College,10902
Chestnut Hill College,46344
Cheyney University of Pennsylvania,14086
Chicago School of Professional Psychology-College of Nursing,
Chicago State University,17455
Chief Dull Knife College,7260
Chipola College,8268
Chippewa Valley Technical College,10268
Chowan University,28570
Christ Mission College,14470
Christian Brothers University,39298
Christopher Newport University,20592
Cincinnati State Technical and Community College,11880
Cisco College,12111
Citadel Military College of South Carolina,29044
Citrus College,6596
City College of San Francisco,6982
City College-Altamonte Springs,20320
